name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,,breakProb,minPieces,maxPieces,travel drive,number
Plunder,jdp_plunder,Missile Destroyer,Pirate,fastmissileracks,12,4000,250,7500,8333,500,65,,90,80,60,30,30,400,FRONT,,200,0.5,1.2,,,50,20,200,50,2,25,9,45000,5,15,300,0.25,12,12,,,,,,,,"pirate_bp, merc",,,0.5,2,3,,301
Epistle,jdp_epistle,Flagship,Midline,maneuveringjets,2,900,150,1400,1000,80,25,,140,150,75,45,85,120,OMNI,,270,0.5,0.8,,,10,30,30,15,1,15,9,4000,5,20,180,0.25,2,2,,,,,,,,"rare_bp, merc",,,0.75,2,2,,217
Shoebill,jdp_shoebill,Support Minelayer,Midline,targetingfeed,40,15000,1000,20000,30000,1200,420,4,30,20,15,6,4,3500,OMNI,,120,0.4,1.2,,,400,1000,600,300,10,30,8,500000,3,15,600,0.25,60,60,,,,,,,"CARRIER, COMBAT","midline_bp, merc",,,0.5,2,4,,503
Gretchen,jdp_gretchen,Phase Cruiser,Low Tech,targetingfeed,25,11000,1200,6000,12000,400,150,3,60,60,60,12,18,1000,PHASE,phasecloak,,,,0.06,0.1,120,200,100,75,3,25,8,100000,5,20,480,0.25,25,25,,,,,,,CARRIER,lowtech_bp,,,0.7,3,4,,406.5
Supremator,jdp_supremator,Battlecruiser,Lion's Guard,highenergyfocus,24,12000,1200,20000,30000,1200,300,,45,20,15,6,4,2500,OMNI,,90,0.4,1.4,,,400,500,300,300,10,30,8,300000,3,15,600,0.25,40,40,,,,,,,,LG_bp,,,0.5,2,4,,503
Meridian,jdp_meridian,Cruiser,High Tech,drone_strike,17,7000,750,10000,16000,750,180,2,75,40,20,22,22,1800,OMNI,,180,0.5,0.5,,,75,200,150,90,3,30,8,250000,4,20,420,0.25,35,35,,,,,,,,"rare_bp, hist2t, merc, ind",,,0.6,2,3,,405
Cinquedea,jdp_cinquedea,Artillery Cruiser,High Tech,jdp_lidararray,17,5000,650,9000,16000,650,120,,75,45,25,28,28,1600,OMNI,,180,0.5,0.6,,,60,200,150,90,3,30,8,225000,4,20,420,0.25,25,25,,,,,,,,"rare_bp, hist2t, merc, ind",,,0.6,2,3,,405
Cinquedea (S),jdp_cinquedea_takina,Artillery Cruiser,High Tech,jdp_quickdrawlidararray,17,5000,650,9000,16000,650,120,,75,45,25,28,28,1600,OMNI,,180,0.5,0.6,,,60,200,150,90,3,30,8,225000,4,20,420,0.25,25,25,,,,,,,,"no_sell, no_dealer",,,0.6,2,3,,405
Cinquedea (R),jdp_cinquedea_chisato,Artillery Cruiser,High Tech,jdp_combatmasterlidararray,17,5000,650,9000,16000,650,120,,75,45,25,28,28,1600,OMNI,,180,0.5,0.6,,,60,200,150,90,3,30,8,225000,4,20,420,0.25,25,25,,,,,,,,"no_sell, no_dealer",,,0.6,2,3,,405
Cassius,jdp_cassius,Battleship,Low Tech,burndrive,28,20000,3000,12000,12500,500,300,,35,10,15,5,5,3500,FRONT,,180,0.4,1.1,,,1200,1500,300,300,15,20,7,375000,3,12,720,0.25,40,40,,,,,,,,"merc, lowtech_bp",,,0.4,2,4,,507
Arcubus (XIV),jdp_arcubus,Artillery Dreadnaught,XIV Battlegroup,maneuveringjets,35,18000,2000,20000,12500,1200,280,,35,12,15,3,3,4000,FRONT,,120,0.6,1.2,,,1500,2000,300,300,15,20,7,650000,3,12,720,0.25,50,50,,,,,,,,"rare_bp, XIV_bp",,,0.4,2,4,,507
Iota,jdp_iota,Droneship Cruiser,Remnant,phaseteleporter,28,8500,1000,10000,12000,600,160,1,60,35,30,20,25,2000,OMNI,,270,0.4,0.6,,,0,0,120,90,3,30,9,140000,5,15,540,0.25,28,28,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec, codex_unlockable",,,0.5,2,3,,413
Atlas Mk.II-LP,jdp_atlas,Bombardment Superfreighter,Luddic Path,forgevats,18,9000,750,8000,8750,350,200,,30,8,4,4,2,4000,OMNI,,60,0.5,1,,,250,300,200,400,10,40,7,150000,2,20,720,0.25,24,24,,,,,,,,LP_bp,,,0.7,2,4,,502.5
Lupara,jdp_lupara,Sawn-off Cruiser,Midline,maneuveringjets,12,6000,750,7000,8000,400,125,1,85,75,55,25,30,500,OMNI,,200,0.4,0.8,,,60,150,200,100,2,33,9,80000,4,12,480,0.25,14,14,,,,,,,,"merc, ind",,,0.5,2,3,,400
Cydonia,jdp_cydonia,Longhaul Surveyship,High Tech,fortressshield,30,12000,600,20000,14000,1500,220,2,40,30,20,15,20,3500,FRONT,,360,0.6,0.7,,,400,1000,1000,800,1,100,9,500000,3,15,420,0.25,38,38,,,,,,,,"rare_bp, merc, ind",,,0.6,3,4,,403
Thunderer,jdp_thunderer,Battlecorvette,High Tech,jdp_banisher,30,12000,1000,20000,31250,1500,420,2,35,25,15,8,8,5000,OMNI,,150,0.6,0.6,,,500,1200,300,400,10,30,7,700000,4,20,720,0.25,60,60,,,,,,,,"hightech_bp, merc",,,0.6,3,4,,403
